Date;Type;Platform;Units;Difficulty;Time Start;Time End;Temp1;Temp2
28/03/2022;Studying;datacamp;6;;;;2:40;
29/03/2022;Studying;datacamp;5;;;;2:30;
29/03/2022;Pairing;local;6;;21:15;24:00;;
30/03/2022;Studying;datacamp;6;;;;3:00;
31/03/2022;Studying;datacamp;10;;;;4:57;
01/04/2022;Studying;datacamp;11;;;;5:25;
02/04/2022;Pairing;local;5;;10:10;12:38;;
03/04/2022;Pairing;local;7;;18:10     21:24;19:55.  22:53;;
03/04/2022;Studying;datacamp;3;;;;;
03/04/2022;Coding;local;3;;;;;
04/04/2022;Studying;datacamp;7;;;;;
05/04/2022;Studying;datacamp;8;;;;;
06/04/2022;Studying;datacamp;9;;;;;
07/04/2022;Studying;datacamp;4;;;;;
07/04/2022;Pairing;local;5;;;;;
07/04/2022;Studying;local;1;;;;;
08/04/2022;Studying;datacamp;4;;;;;
09/04/2022;Studying;datacamp;7;;;;;
09/04/2022;Pairing;local;6;;;;;
10/04/2022;Studying;datacamp;5;;;;;
11/04/2022;Studying;datacamp;5;;;;;
12/04/2022;Studying;datacamp;8;;;;;
13/04/2022;Studying;datacamp;7;;;;;
13/04/2022;Pairing;local;4;;;;;
14/04/2022;Studying;datacamp;6;;;;;
15/04/2022;Studying;datacamp;7;;;;;
16/04/2022;Studying;datacamp;2;;;;;
16/04/2022;Coding;exercism;1;;;;;
17/04/2022;Studying;datacamp;6;;;;;
17/04/2022;Coding;exercism;1;;;;;
17/04/2022;Pairing;local;2;;;;;
18/04/2022;Studying;datacamp;5;;;;;
19/04/2022;Studying;datacamp;3;;;;;
19/04/2022;Studying;local;2;;;;;
20/04/2022;Studying;datacamp;6;;;;;
20/04/2022;Coding;local;3;;;;;
20/04/2022;Pairing;local;4;;;;;
21/04/2022;Studying;datacamp;8;;;;;
22/04/2022;Studying;datacamp;7;;;;;
23/04/2022;Studying;datacamp;4;;;;;
23/04/2022;Coding;local;2;;;;;
24/04/2022;Pairing;local;4;;;;;
24/04/2022;Coding;exercism;2;;;;;
24/04/2022;Studying;datacamp;3;;;;;
25/04/2022;Studying;datacamp;6;;;;;
26/04/2022;Studying;datacamp;8;;;;;
27/04/2022;Studying;datacamp;6;;;;;
28/04/2022;Studying;local;5;;;;;
28/04/2022;Pairing;local;2;;;;;
29/04/2022;Studying;datacamp;5;;;;;
30/04/2022;Pairing;local;5;;;;;
01/05/2022;Studying;datacamp;2;;;;;
02/05/2022;Studying;datacamp;5;;;;;
03/05/2022;Studying;datacamp;10;;;;;
03/05/2022;Studying;local;2;;;;;
03/05/2022;Coding;exercism;1;;;;;
04/05/2022;Studying;datacamp;8;;;;;
04/05/2022;Coding;local;1;;;;;
05/05/2022;Studying;datacamp;9;;;;;
05/05/2022;Pairing;local;5;;;;;
06/05/2022;Studying;datacamp;3;;;;;
06/05/2022;Coding;local;2;;;;;
06/05/2022;Coding;exercism;1;;;;;
07/05/2022;Pairing;local;3;;;;;
07/05/2022;Studying;datacamp;6;;;;;
09/05/2022;Studying;datacamp;9;;;;;
10/05/2022;Studying;datacamp;4;;;;;
11/05/2022;Studying;datacamp;9;;;;;
12/05/2022;Studying;datacamp;4;;;;;
13/05/2022;Studying;datacamp;2;;;;;
13/05/2022;Studying;local;2;;;;;
14/05/2022;Pairing;local;3;;;;;
14/05/2022;Coding;local;2;;;;;
14/05/2022;Studying;datacamp;5;;;;;
15/05/2022;Studying;datacamp;4;;;;;
16/05/2022;Studying;datacamp;8;;;;;
17/05/2022;Studying;datacamp;7;;;;;
18/05/2022;Studying;datacamp;10;;;;;
18/05/2022;Pairing;local;2;;;;;
19/05/2022;Studying;datacamp;6;;;;;
20/05/2022;Studying;datacamp;10;;;;;
21/05/2022;Studying;datacamp;3;;;;;
22/05/2022;Studying;datacamp;4;;;;;
22/05/2022;Coding;local;2;;;;;
22/05/2022;Pairing;local;5;;;;;
23/05/2022;Studying;datacamp;6;;;;;
24/05/2022;Studying;datacamp;9;;;;;
25/05/2022;Studying;datacamp;5;;;;;
25/05/2022;Pairing;local;5;;;;;
26/05/2022;Studying;datacamp;9;;;;;
27/05/2022;Studying;datacamp;2;;;;;
28/05/2022;Studying;datacamp;6;;;;;
28/05/2022;Pairing;local;5;;;;;
29/05/2022;Studying;datacamp;4;;;;;
29/05/2022;Studying;local;4;;;;;
30/05/2022;Studying;datacamp;8;;;;;
31/05/2022;Studying;datacamp;6;;;;;
31/05/2022;Coding;exercism;3;;;;;
01/06/2022;Studying;datacamp;2;;;;;
01/06/2022;Coding;exercism;8;;;;;
02/06/2022;Pairing;local;3;;;;;
03/06/2022;Pairing;local;4;;;;;
04/06/2022;Studying;local;4;;;;;
05/06/2022;Pairing;local;3;;;;;
05/06/2022;Studying;local;2;;;;;
06/06/2022;Studying;local;4;;;;;
07/06/2022;Studying;local;2;;;;;
07/06/2022;Studying;datacamp;4;;;;;
08/06/2022;Studying;datacamp;7;;;;;
08/06/2022;Coding;exercism;1;;;;;
09/06/2022;Studying;datacamp;4;;;;;
09/06/2022;Coding;exercism;3;;;;;
09/06/2022;Pairing;local;4;;;;;
10/06/2022;Studying;datacamp;4;;;;;
10/06/2022;Coding;exercism;1;;;;;
10/06/2022;Studying;local;4;;;;;
12/06/2022;Studying;datacamp;3;;;;;
12/06/2022;Coding;exercism;2;;;;;
12/06/2022;Pairing;local;4;;;;;
13/06/2022;Studying;datacamp;3;;;;;
14/06/2022;Studying;datacamp;9;;;;;
14/06/2022;Coding;exercism;2;;;;;
15/06/2022;Studying;datacamp;11;;;;;
16/06/2022;Studying;datacamp;3;;;;;
16/06/2022;Pairing;local;2;;;;;
17/06/2022;Studying;datacamp;3;;;;;
19/06/2022;Coding;exercism;4;;;;;
20/06/2022;Coding;exercism;4;;;;;
21/06/2022;Studying;datacamp;3;;;;;
22/06/2022;Studying;datacamp;1;;;;;
25/06/2022;Studying;datacamp;3;;;;;
27/06/2022;Studying;datacamp;2;;;;;
28/06/2022;Studying;datacamp;2;;;;;
29/06/2022;Studying;datacamp;4;;;;;
03/07/2022;Studying;datacamp;1;;;;;
04/07/2022;Studying;datacamp;3;;;;;
04/07/2022;Pairing;local;4;;;;;
05/07/2022;Studying;datacamp;4;;;;;
06/07/2022;Studying;datacamp;5;;;;;
08/07/2022;Studying;datacamp;5;;;;;
09/07/2022;Studying;datacamp;5;;;;;
10/07/2022;Studying;datacamp;3;;;;;
10/07/2022;Pairing;local;5;;;;;
